Falcons ATL 9
Bills BUF 6
Jets NYJ 4
Eagles PHI 10
Redskins WAS 10
Chargers LAC 12
Colts IND 6
Seahawks SEA 11
Bengals CIN 9
Lions DET 5
Cardinals ARI 12
Giants NYG 11
Cowboys DAL 8
Bears CHI 6
Packers GB 11
Panthers CAR 7
Rams LA 9
Browns CLE 7
Titans TEN 11
Jaguars JAX 10
Chiefs KC 12
Dolphins MIA 5
Ravens BAL 8
Vikings MIN 12
Buccaneers TB 7
Patriots NE 10
49ers SF 4
Steelers PIT 7
Texans HOU 10
Saints NO 9
Raiders OAK 6
Broncos DEN 10
